Language,Total Keys,Existing Keys,Missing Keys,Completeness %,Subpage Keys Missing,Status,Critical Missing Sections
AR,3402,278,3124,8.2%,2380,需要完整翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
DE,3402,1523,2247,44.8%,2240,部分翻译完成,elvenName
ES,3402,1224,2560,36.0%,2269,部分翻译完成,elvenName
FR,3402,1224,2560,36.0%,2269,部分翻译完成,elvenName
ID,3402,278,3124,8.2%,2380,需要完整翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
IT,3402,608,2794,17.9%,2351,需要大量翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
JA,3402,779,2623,22.9%,2339,需要大量翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
KO,3402,779,2623,22.9%,2339,需要大量翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
PL,3402,278,3124,8.2%,2380,需要完整翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
PT,3402,278,3124,8.2%,2380,需要完整翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
RU,3402,278,3124,8.2%,2380,需要完整翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
TH,3402,278,3124,8.2%,2380,需要完整翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
VI,3402,278,3124,8.2%,2380,需要完整翻译,"darkElf, bloodElf, highElf, femaleElf, dndElf, tolkienElf, elvenName, elfRandomizer"
